voltage_kv,69,115,138,161,230,345,500,765
acres,1.0,1.1,1.3,1.4,1.5,1.9,3.1,3.9
access_road_miles,0,0,0,0,0,0,0,0
circuit_breaker,3,3,3,3,3,3,3,3
disconnect_switches,6,6,6,6,6,6,6,6
voltage_transformers,2,2,2,2,2,2,2,2
bus_support,8,8,8,8,8,12,16,20
deadend_struct,2,2,2,2,2,2,2,2
control_enclosure,0,0,0,0,0,0,0,0
relay_panel,3,3,3,3,3,3,3,3
cable_trench_ft,135,143,150,158,165,180,210,263
conduit_ft,1350,1430,1500,1580,1650,1800,2100,2630
control_cable_ft,13500,14300,15000,15800,16500,18000,21000,26300
validation,3.2,3.7,4.1,4.6,5.4,8.6,12.0,31.7
